seconds	x_angle	y_angle	z_angle	product 0	product 1	product 2	product 3	product 4	product 5	product 6
22.73333333	-9.101837	-4.555634	-0.912392	48735.19429	52366.00802	70824.70206	69522.09129	86457.72393	98301.91871	97261.72219
22.76666667	-13.12645	-1.246826	-1.620468	53309.50184	59445.83408	79318.48352	76381.83833	95110.53032	105297.2636	105517.6774
22.8	-15.179825	2.93811	1.712021	60206.69061	67027.72449	86857.47618	84730.19433	103866.2128	113999.6276	114497.2916
22.83333333	-17.545975	4.570633	-1.424942	63865.20046	71795.06725	92260.73218	89131.79352	109126.3123	118299.7997	119482.6635
22.86666667	-15.356705	-1.959663	3.927353	52883.7669	60596.84279	81676.54436	76289.65951	96261.95201	104791.9158	106001.9824
23.1	-27.130928	5.373611	10.093445	72470.83112	84848.56831	108444.848	98714.82858	122383.5189	126268.7759	130754.8651
23.13333333	-6.412575	3.136528	4.502365	60277.52796	61282.89677	76103.37804	82305.3596	96628.63687	112311.7749	109321.0157
23.16666667	1.557159	-2.052383	11.110855	56488.72458	51639.40333	61264.67899	73368.71404	82751.85053	102566.7916	96597.8553
23.2	10.212143	-2.16835	16.243759	65113.76014	54298.60575	54636.50633	77205.66862	79590.77611	105192.9468	95337.47514
23.23333333	-2.579201	0.544678	10.786102	57602.45184	55919.63021	68569.93934	77380.78662	89526.82505	107112.7371	102753.6418
23.26666667	14.62056	0.005081	20.852158	74335.3454	61414.8371	56621.97206	84990.16871	83808.9189	112374.5602	100557.4857
23.3	-1.209984	-1.80806	16.925468	54963.08405	52241.16404	64316.50358	73326.71925	84730.35933	102709.9407	97948.97003
23.33333333	-4.282379	-4.439415	7.121262	50038.6263	49808.79734	64988.47981	68874.06354	82688.64832	97893.11379	94731.0345
23.36666667	-11.774887	-3.939217	6.12262	49520.76206	55083.53318	74891.68695	71408.19053	89803.01082	100037.6068	100052.2783
23.4	-12.636032	-6.393944	6.043045	46706.31971	53227.01813	73984.85765	67968.157	87194.82622	96036.62437	96749.0399
23.43333333	-12.738297	-8.520294	2.81691	44483.52077	51366.47199	72564.03153	64888.86926	84480.45112	92495.42452	93562.03108
23.46666667	-8.995758	-9.393799	3.977829	43507.85843	47551.07431	66933.9844	62203.77877	79726.72798	90046.76004	89591.43912
23.5	-1.030151	-3.661575	9.250557	52634.36183	49757.82856	62102.36091	70205.66887	81633.5745	99305.32992	94616.58424
23.53333333	2.815277	-7.941833	7.480087	50602.37862	44501.81666	54028.09399	64069.08812	72744.98585	92131.58328	85996.05358
23.56666667	-1.420242	-4.077507	8.52359	51884.39871	49319.98084	62097.50982	69484.09338	81233.09703	98531.45581	94053.70363
23.6	-4.238808	-9.356033	8.347961	44752.68678	44708.47107	60907.67952	61323.69362	75641.56033	89421.93228	86775.46924
23.63333333	-4.668602	-6.993057	5.973297	46949.57817	47158.7539	63202.36609	64888.51714	79252.07298	93454.24976	90737.17243
23.66666667	-7.273903	-3.734383	10.452255	50021.0192	52148.14231	69272.77645	70403.02155	86103.37017	99440.05087	97514.72779
23.7	-4.579346	-6.847343	4.209526	47141.02304	47267.2535	63212.90871	65103.58287	79388.67781	93698.1721	90924.33921
23.73333333	-4.103874	-11.481537	5.044098	42985.73696	42927.99221	59398.06347	58290.71406	72735.13731	85905.63857	83451.6838
23.76666667	-4.794037	-11.966629	4.044708	42331.36214	42923.77598	59984.86066	57697.18177	72699.42052	85179.86736	83118.68178
23.8	-3.831505	-11.330627	3.20208	43224.3317	42913.24866	59149.76522	58477.73137	72704.43951	86131.73508	83528.43259
23.83333333	-5.011024	-10.457596	2.519234	43468.31567	44166.46109	61139.83914	59825.29289	74817.97873	87663.84028	85513.44448
23.86666667	-4.615051	-11.127304	0.341125	43059.20707	43442.53485	60238.94901	58835.84505	73617.25418	86527.49905	84273.51168
23.9	-7.670441	-13.447929	0.194183	40461.57581	43733.18469	62923.34791	56285.64938	73467.99132	83231.74048	82750.10433
23.93333333	-6.114052	-12.179886	0.194939	41724.62692	43518.03544	61539.96886	57615.05315	73582.68504	84995.88902	83593.22263
23.96666667	-7.377007	-13.06543	-0.470947	40775.78976	43758.39533	62721.12267	56710.73416	73650.0627	83783.52755	83105.94289
24	-7.639732	-12.802826	-1.453613	40905.61455	44098.90671	63191.61364	57125.52295	74209.32468	84249.75754	83657.53376
24.03333333	-7.650055	-12.99791	-1.703087	40768.02386	43986.01811	63109.65085	56870.33576	73984.72481	83941.34529	83382.83022
24.06666667	-9.168655	-11.418625	-2.222305	41738.36054	46124.43105	65932.40832	59433.91961	77332.17289	86783.68511	86697.10482
24.1	-9.027527	-10.769112	-2.111366	42283.70184	46488.71411	66118.34694	60280.39502	78005.00645	87802.67271	87556.64224
24.13333333	-8.987152	-11.45961	-2.032089	41721.5949	45958.63989	65668.98142	59320.08099	77109.39759	86676.95752	86513.22942
24.16666667	-9.137177	-10.302475	-2.554733	42674.63737	46925.56661	66543.93535	60963.8081	78695.60041	88586.53856	88323.23021
24.2	-9.386353	-10.213516	-2.378342	42734.09913	47182.85907	66928.68243	61168.21458	79043.06739	88787.97251	88624.68111
24.23333333	-9.794029	-11.451538	-1.972733	41674.84446	46586.01799	66747.14183	59600.32267	77891.15698	86878.1261	87081.94884
24.26666667	-10.239388	-11.705872	-2.290741	41464.45962	46768.48019	67204.88542	59417.8646	78014.02044	86581.76294	87026.73474
24.3	-10.19194	-13.416672	-2.176041	40232.77687	45664.40226	66282.68492	57145.15288	75936.58507	83852.88887	84545.29383
24.33333333	-10.315605	-13.941483	-1.954544	39895.75399	45477.95372	66213.63768	56520.61073	75454.56826	83062.28808	83897.21601
