,Unnamed: 0,frame_number,x_angle,y_angle,z_angle,product 0,product 1,product 2,product 3,product 4,product 5,product 6,seconds
16,16,704,-8.995758,-9.393799,3.977829,43507.85842633647,47551.074307488016,66933.98440316184,62203.778771098616,79726.72797663072,90046.76004044055,89591.43912343051,23.466666666666665
17,17,705,-1.030151,-3.661575,9.250557,52634.36182563088,49757.82856132604,62102.36090714491,70205.6688682855,81633.57450149722,99305.32991780194,94616.58424377721,23.5
18,18,706,2.815277,-7.941833,7.480086999999998,50602.37861952157,44501.81666226775,54028.09398636678,64069.088115337225,72744.98585309139,92131.5832806058,85996.05357553055,23.533333333333335
19,19,707,-1.420242,-4.077507,8.523589999999999,51884.39871201503,49319.98083868807,62097.509823248176,69484.09338487957,81233.09702524655,98531.45580791462,94053.70362565367,23.566666666666666
20,20,708,-4.2388080000000015,-9.356033,8.347961,44752.686784394784,44708.47106577581,60907.67952371509,61323.693618951474,75641.56033052308,89421.93228212954,86775.4692419933,23.6
21,21,709,-4.668602,-6.993057,5.9732970000000005,46949.57817419777,47158.753895858965,63202.36608795595,64888.51713540609,79252.07297600832,93454.24976364037,90737.17243194488,23.633333333333333
22,22,710,-7.273903,-3.734383,10.452255,50021.01920480032,52148.142313087665,69272.7764545136,70403.02155230081,86103.37016729312,99440.0508716494,97514.72778784152,23.666666666666668
23,23,711,-4.579346,-6.847343,4.209526,47141.02303914316,47267.25350396059,63212.90870793289,65103.58286952407,79388.67780875872,93698.17210086787,90924.33920963376,23.7
24,24,712,-4.1038739999999985,-11.481537,5.044098,42985.736964102434,42927.99221408779,59398.06346730077,58290.714057521975,72735.13730716365,85905.63856834157,83451.68379822098,23.733333333333334
25,25,713,-4.794037,-11.966629,4.044708,42331.362142038415,42923.775977401536,59984.86066069041,57697.18176797282,72699.42051924308,85179.86735658432,83118.68178378385,23.766666666666666
26,26,714,-3.831505,-11.330627,3.20208,43224.33169591371,42913.24865994647,59149.76521668959,58477.73136898209,72704.43950575644,86131.73508232548,83528.43258622757,23.8
27,27,715,-5.011024,-10.457596,2.519234,43468.31567212608,44166.46108792714,61139.83914384263,59825.29288864603,74817.97873404452,87663.84027538705,85513.44447927148,23.833333333333332
28,28,716,-4.615051,-11.127304,0.341125,43059.207066186624,43442.53485322823,60238.949012340374,58835.8450495825,73617.25417566557,86527.49905378661,84273.51167834831,23.866666666666667
29,29,717,-7.670441,-13.447929,0.194183,40461.57581386082,43733.184694426825,62923.34791169772,56285.64937963959,73467.99132336416,83231.74048173534,82750.10433187897,23.9
