,0,1,2,3,4,5,6,seconds
0,1,0,0,0,0,0,0,22.733333333333334
1,1,0,0,0,0,0,0,22.766666666666666
2,1,0,0,0,0,0,0,22.8
3,1,0,0,0,0,0,0,22.833333333333332
4,1,0,0,0,0,0,0,22.866666666666667
5,1,0,0,0,0,0,0,23.1
6,1,0,0,0,0,0,0,23.133333333333333
7,0,1,0,0,0,0,0,23.166666666666668
8,0,1,0,0,0,0,0,23.2
9,0,1,0,0,0,0,0,23.233333333333334
10,0,0,1,0,0,0,0,23.266666666666666
11,0,1,0,0,0,0,0,23.3
12,0,1,0,0,0,0,0,23.333333333333332
13,1,0,0,0,0,0,0,23.366666666666667
14,1,0,0,0,0,0,0,23.4
15,1,0,0,0,0,0,0,23.433333333333334
16,1,0,0,0,0,0,0,23.466666666666665
17,0,1,0,0,0,0,0,23.5
18,0,1,0,0,0,0,0,23.533333333333335
19,0,1,0,0,0,0,0,23.566666666666666
20,0,1,0,0,0,0,0,23.6
21,1,0,0,0,0,0,0,23.633333333333333
22,1,0,0,0,0,0,0,23.666666666666668
23,1,0,0,0,0,0,0,23.7
24,0,1,0,0,0,0,0,23.733333333333334
25,1,0,0,0,0,0,0,23.766666666666666
26,0,1,0,0,0,0,0,23.8
27,1,0,0,0,0,0,0,23.833333333333332
28,1,0,0,0,0,0,0,23.866666666666667
29,1,0,0,0,0,0,0,23.9
30,1,0,0,0,0,0,0,23.933333333333334
31,1,0,0,0,0,0,0,23.966666666666665
32,1,0,0,0,0,0,0,24.0
33,1,0,0,0,0,0,0,24.033333333333335
34,1,0,0,0,0,0,0,24.066666666666666
35,1,0,0,0,0,0,0,24.1
36,1,0,0,0,0,0,0,24.133333333333333
37,1,0,0,0,0,0,0,24.166666666666668
38,1,0,0,0,0,0,0,24.2
39,1,0,0,0,0,0,0,24.233333333333334
40,1,0,0,0,0,0,0,24.266666666666666
41,1,0,0,0,0,0,0,24.3
42,1,0,0,0,0,0,0,24.333333333333332
43,1,0,0,0,0,0,0,24.366666666666667
44,1,0,0,0,0,0,0,24.4
45,1,0,0,0,0,0,0,24.433333333333334
46,1,0,0,0,0,0,0,24.466666666666665
47,1,0,0,0,0,0,0,24.5
48,1,0,0,0,0,0,0,24.533333333333335
49,1,0,0,0,0,0,0,24.566666666666666
50,1,0,0,0,0,0,0,24.6
51,1,0,0,0,0,0,0,24.633333333333333
52,1,0,0,0,0,0,0,24.666666666666668
53,1,0,0,0,0,0,0,24.7
54,1,0,0,0,0,0,0,24.733333333333334
55,1,0,0,0,0,0,0,24.766666666666666
56,1,0,0,0,0,0,0,24.8
57,1,0,0,0,0,0,0,24.833333333333332
58,1,0,0,0,0,0,0,24.866666666666667
59,1,0,0,0,0,0,0,24.9
